nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,datagouv_resource_id
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77368A,01F5ZAKH61BJ58DFFJ4X4N2B6Z,Poigny,Voirie,rue de la mairie,77368,"[48.539557500000001,3.281679500000000]",2,FRS77EEC7712211,01F5ZB3EZMQ7K1AS4X56Y7D4TH,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22152387681645,2016-08-11,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77368A,01F5ZAKH61BJ58DFFJ4X4N2B6Z,Poigny,Voirie,rue de la mairie,77368,"[48.539557500000001,3.281679500000000]",2,FRS77EEC7712212,01F5ZB3EZM5V6SNQS5WQRX1434,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22152387681645,2015-07-01,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77377A,01F5ZAKH617Z7JPB2W1XVCXPCM,Presles-en-Brie,Voirie,rue du Marronnier,77377,"[48.714990999999998,2.740637100000000]",2,FRS77EEC7712311,01F5ZB3EZM2DVTN32C3NXEW7AV,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178147452298,2016-11-07,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77377A,01F5ZAKH617Z7JPB2W1XVCXPCM,Presles-en-Brie,Voirie,rue du Marronnier,77377,"[48.714990999999998,2.740637100000000]",2,FRS77EEC7712312,01F5ZB3EZM8XWNYX59T3C92M6P,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178147452298,2016-08-31,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77384A,01F5ZAKH61YS90NBC7MSK83QP2,Reau,Voirie,rue de Villaroche,77384,"[48.610613499999999,2.623649600000000]",2,FRS77EEC7712411,01F5ZB3EZM4QB6WWEYS5KJJRPC,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22195658303962,2015-07-01,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77384A,01F5ZAKH61YS90NBC7MSK83QP2,Reau,Voirie,rue de Villaroche,77384,"[48.610613499999999,2.623649600000000]",2,FRS77EEC7712412,01F5ZB3EZN3PYFYZ9TBRV2B3XP,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22195658303962,2016-09-02,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77348A,01F5ZAKH61HXHE8EZ4KVA08RHB,Ormesson,Voirie,rue de Beaumont,77348,"[48.243544999999997,2.654417000000000]",2,FRS77EEC7711612,01F5ZB3EZMQ8V521BZNNBA0PTD,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22177858016668,2015-05-28,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77385A,01F5ZAKH61BXDNWWQ0ST5558Y4,Rebais,Voirie,avenue georges clémenceau,77385,"[48.848412000000003,3.233130900000000]",2,FRS77EEC7712512,01F5ZB3EZN64E66F733VYDEDT9,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22179160476860,2016-11-07,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77385B,01F5ZAKH61AR5S7HGFBEWKSTVH,Rebais / CC Brie-des-Morins,Voirie,avenue Jean de la Fontaine,77385,"[48.850102000000000,3.238447000000000]",2,FRS77EEC7712611,01F5ZB3EZNMTWZYSQAHTFV7PME,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22193198101014,2016-04-13,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77385B,01F5ZAKH61AR5S7HGFBEWKSTVH,Rebais / CC Brie-des-Morins,Voirie,avenue Jean de la Fontaine,77385,"[48.850102000000000,3.238447000000000]",2,FRS77EEC7712612,01F5ZB3EZNWKQF1H707924CZJA,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22193198101014,2016-01-18,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77386A,01F5ZAKH61B707RBDK5EFTM5VT,Recloses,Voirie,rue des Champs,77386,"[48.346182900000002,2.639528300000000]",2,FRS77EEC7712711,01F5ZB3EZNPNS22K2F68YZ1NMN,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22147467276450,2016-08-31,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77386A,01F5ZAKH61B707RBDK5EFTM5VT,Recloses,Voirie,rue des Champs,77386,"[48.346182900000002,2.639528300000000]",2,FRS77EEC7712712,01F5ZB3EZNPCYVYJBXNJ5S5A54,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22147467276450,2016-01-19,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77447A,01F5ZAKH61B7EXKKHQQMPAKWF5,Seine-Port,Voirie,rue de Melun,77447,"[48.557753800000000,2.549188200000000]",2,FRS77EEC7713412,01F5ZB3EZNQNC756B6F8K471E5,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22197539636723,2016-11-07,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77389A,01F5ZAKH61H3RP369G9Z4HJ948,La Rochette,Voirie,avenue Théodore Rousseau,77389,"[48.521802000000001,2.660926000000000]",2,FRS77EEC777612,01F5ZB3EZNFS9FMTK5W9T48A3E,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22103328351600,2016-12-16,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77447A,01F5ZAKH61B7EXKKHQQMPAKWF5,Seine-Port,Voirie,rue de Melun,77447,"[48.557753800000000,2.549188200000000]",2,FRS77EEC7713411,01F5ZB3EZNTN7M64P43J2WWQE8,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22197539636723,2015-07-01,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77453A,01F5ZAKH615T44TYYE5HJP8AXY,Sivry courty,Voirie,rue du Calvaire,77453,"[48.527020999999998,2.750641000000000]",2,FRS77EEC7713612,01F5ZB3EZN0TRAPJWEZV518M36,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22177134427607,2016-08-10,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77451A,01F5ZAKH61M738W0VVEKZ9J14G,Signy-Signets,Voirie,place de la jouvence,77451,"[48.927908199999997,3.068418600000000]",2,FRS77EEC7713511,01F5ZB3EZNZP2K7NDXBE60RRYB,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22156295062267,2016-09-02,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77451A,01F5ZAKH61M738W0VVEKZ9J14G,Signy-Signets,Voirie,place de la jouvence,77451,"[48.927908199999997,3.068418600000000]",2,FRS77EEC7713512,01F5ZB3EZNDFCS2G8YTQT1S8Z0,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22156295062267,2016-02-01,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77508A,01F5ZAKH61ED7429VDSMRNSYCR,Villeneuve-le-Comte,Voirie,place de la fontaine,77508,"[48.813721000000001,2.830367600000000]",2,FRS77EEC7715712,01F5ZB3EZPMRN381QZRM128YQR,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22168451357191,2016-02-23,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77512A,01F5ZAKH61FTXDZBQKSYMRJR4Q,Villeneuve-sur-Bellot,Voirie,rue du Pont,77512,"[48.861052999999998,3.343021100000000]",2,FRS77EEC7715811,01F5ZB3EZP8RCMERZVGXCDCE8K,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178436887861,2016-08-11,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77512A,01F5ZAKH61FTXDZBQKSYMRJR4Q,Villeneuve-sur-Bellot,Voirie,rue du Pont,77512,"[48.861052999999998,3.343021100000000]",2,FRS77EEC7715812,01F5ZB3EZPMFQB2AY5WQ6VDGY8,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178436887861,2016-08-31,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77516A,01F5ZAKH61543XR9FNK0WBWB8W,Ville-St-Jacques,Voirie,place de l'église,77516,"[48.342730600000003,2.895756100000000]",2,FRS77EEC7715911,01F5ZB3EZPMCR0M9B2X5FQ05PY,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22184225597668,2021-01-04,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77516A,01F5ZAKH61543XR9FNK0WBWB8W,Ville-St-Jacques,Voirie,place de l'église,77516,"[48.342730600000003,2.895756100000000]",2,FRS77EEC7715912,01F5ZB3EZPB1EFZA2ZTWF09GAE,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22184225597668,2016-09-07,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77517A,01F5ZAKH61ZBJNVVX7GPVZJR86,Villevaudé,Voirie,place de Bordeaux,77517,"[48.900551900000004,2.672179300000000]",2,FRS77EEC7716011,01F5ZB3EZPY8NCFV5YG87MJPHY,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22108248751593,2016-09-07,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77517A,01F5ZAKH61ZBJNVVX7GPVZJR86,Villevaudé,Voirie,place de Bordeaux,77517,"[48.900551900000004,2.672179300000000]",2,FRS77EEC7716012,01F5ZB3EZP55XAWBVMMPD5X8GM,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22108248751593,2015-07-01,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77518A,01F5ZAKH6137W78F5N8C2QK3VA,Villiers-en-Bière,Voirie,rue Cambot,77518,"[48.494174899999997,2.599086200000000]",2,FRS77EEC7716111,01F5ZB3EZP7NFWRWQVF6MPTCJS,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22184080879899,2016-08-31,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77518A,01F5ZAKH6137W78F5N8C2QK3VA,Villiers-en-Bière,Voirie,rue Cambot,77518,"[48.494174899999997,2.599086200000000]",2,FRS77EEC7716112,01F5ZB3EZPNSYJCBJ9NJA83V66,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22184080879899,2016-04-05,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77519A,01F5ZAKH61226N04Q3D9F4JANT,Villiers-St-Georges,Voirie,route de Provins,77519,"[48.649963000000000,3.406241000000000]",2,FRS77EEC7716211,01F5ZB3EZPMW455VRVDTGMWNKG,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22179594630237,2016-08-10,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77519A,01F5ZAKH61226N04Q3D9F4JANT,Villiers-St-Georges,Voirie,route de Provins,77519,"[48.649963000000000,3.406241000000000]",2,FRS77EEC7716212,01F5ZB3EZP78JSCEH73WT2H0JW,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22179594630237,2016-05-30,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77522A,01F5ZAKH61DPW9CNSTFH732PYT,Villiers-sur-Seine,Voirie,rue des Dronots,77522,"[48.455891000000001,3.376130900000000]",2,FRS77EEC7716311,01F5ZB3EZPN8449KEFBFCT352G,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22104196656390,2017-02-01,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77522A,01F5ZAKH61DPW9CNSTFH732PYT,Villiers-sur-Seine,Voirie,rue des Dronots,77522,"[48.455891000000001,3.376130900000000]",2,FRS77EEC7716312,01F5ZB3EZP8AXNNNRC8FADH04M,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22104196656390,2015-07-01,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77524A,01F5ZAKH61QHH4V61S5VESVP7P,Vimpelles,Voirie,grande rue,77524,"[48.439373799999998,3.165309100000000]",2,FRS77EEC7716411,01F5ZB3EZPTAV57K29ZFND4ZH6,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22198552661336,2016-09-07,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77524A,01F5ZAKH61QHH4V61S5VESVP7P,Vimpelles,Voirie,grande rue,77524,"[48.439373799999998,3.165309100000000]",2,FRS77EEC7716412,01F5ZB3EZP1RNHDQNR89SHFW86,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22198552661336,2016-08-31,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77527A,01F5ZAKH61JRJ229GGPBXGQRTW,Voinsles,Voirie,rue du onze novembre,77527,"[48.690327000000003,3.003289000000000]",2,FRS77EEC7716511,01F5ZB3EZPG50ECE8R235EMSET,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178581605646,2017-11-30,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77527A,01F5ZAKH61JRJ229GGPBXGQRTW,Voinsles,Voirie,rue du onze novembre,77527,"[48.690327000000003,3.003289000000000]",2,FRS77EEC7716512,01F5ZB3EZP6AJTH4C9ZFPAFA43,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178581605646,2015-07-01,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77528A,01F5ZAKH61JQAJB8N08A2XPVV4,Voisenon,Voirie,rue des écoles,77528,"[48.571084999999997,2.664648100000000]",2,FRS77EEC7716611,01F5ZB3EZPMJR6SJ5PKND15172,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22197684354590,2015-05-28,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77528A,01F5ZAKH61JQAJB8N08A2XPVV4,Voisenon,Voirie,rue des écoles,77528,"[48.571084999999997,2.664648100000000]",2,FRS77EEC7716612,01F5ZB3EZPJTHS12ZJ0JXVFR6A,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22197684354590,2016-01-19,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77531A,01F5ZAKH61R37GJPE2BGRQBVFE,Voulx,Voirie,Rue Grande,77531,"[48.282539000000000,2.969121000000000]",2,FRS77EEC7716711,01F5ZB3EZP0TJAPM0CVW9H562N,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22177568581056,2015-07-01,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77531A,01F5ZAKH61R37GJPE2BGRQBVFE,Voulx,Voirie,Rue Grande,77531,"[48.282539000000000,2.969121000000000]",2,FRS77EEC7716712,01F5ZB3EZPEHH9E3Q8PTTFE03R,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22177568581056,2016-01-22,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77534A,01F5ZAKH6106Q394Y3BDB7BX3R,Yebles,Voirie,grande rue,77534,"[48.637526100000002,2.773878400000000]",2,FRS77EEC7716811,01F5ZB3EZP9X1BMWB5DV1P69SW,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22192329794477,2015-05-28,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77534A,01F5ZAKH6106Q394Y3BDB7BX3R,Yebles,Voirie,grande rue,77534,"[48.637526100000002,2.773878400000000]",2,FRS77EEC7716812,01F5ZB3EZPY1EJ38DAAXS9WPSF,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22192329794477,2016-08-10,aucune,2021-05-18,2021-06-09T17:54:24.122000,6d189577-af67-4d72-ba60-73fa62fd35fc
